,datetime(yyyy-mm-dd hh),co2_flow(l),Amstel_Utra_tot_volume(l),Amstel_Utra_age_volume(days*l),Carta_Blanca_tot_volume(l),Carta_Blanca_age_volume(days*l),Coors_Light_tot_volume(l),Coors_Light_age_volume(days*l),Miller_tot_volume(l),Miller_age_volume(days*l),Sol_tot_volume(l),Sol_age_volume(days*l),Tecate_tot_volume(l),Tecate_age_volume(days*l),Tecate_Light_tot_volume(l),Tecate_Light_age_volume(days*l),RIZZOS_tot_volume(l),RIZZOS_age_volume(days*l),Bohemia_tot_volume(l),Bohemia_age_volume(days*l),Noche_Buena_tot_volume(l),Noche_Buena_age_volume(days*l)
58,2022-08-11 12,257062.0633544922,4100.0,10591.666666666668,6800.0,855100.0,6800.0,31733.333333333336,6800.0,15583.333333333332,20400.0,901566.6666666666,6800.0,18416.666666666668,55300.0,873466.6666666667,0.0,0.0,0.0,0.0,4200.0,5862.5
59,2022-08-11 13,296585.26025390625,4100.0,10762.5,6800.0,855383.3333333334,6800.0,32016.666666666664,6800.0,15866.666666666668,20400.0,902416.6666666667,6800.0,18700.0,55300.0,875770.8333333335,0.0,0.0,0.0,0.0,4200.0,6037.5
60,2022-08-11 14,306977.32177734375,4100.0,10933.333333333332,6800.0,855666.6666666666,6800.0,32300.0,6800.0,16150.0,20400.0,903266.6666666666,6800.0,18983.333333333332,62100.0,878358.3333333334,0.0,0.0,0.0,0.0,4200.0,6212.5
61,2022-08-11 15,332452.9626464844,4100.0,11104.166666666668,6800.0,855950.0,6800.0,32583.333333333336,6800.0,16433.333333333332,20400.0,904116.6666666666,6800.0,19266.666666666668,62100.0,880945.8333333335,0.0,0.0,0.0,0.0,4200.0,6387.5
62,2022-08-11 16,383665.6376953125,4100.0,11275.0,6800.0,856233.3333333334,6800.0,32866.666666666664,6800.0,16716.666666666668,20400.0,904966.6666666667,6800.0,19550.0,62100.0,883533.3333333335,0.0,0.0,0.0,0.0,4200.0,6562.5
63,2022-08-11 17,352948.6809082031,4100.0,11445.833333333332,6800.0,856516.6666666666,6800.0,33150.0,6800.0,17000.0,20400.0,905816.6666666666,6800.0,19833.333333333332,62100.0,886120.8333333334,0.0,0.0,0.0,0.0,4200.0,6737.5
64,2022-08-11 18,373240.2092285156,4100.0,11616.666666666668,6800.0,856800.0,6800.0,33433.333333333336,6800.0,17283.333333333332,20400.0,906666.6666666666,6800.0,20116.666666666668,62100.0,888708.3333333335,0.0,0.0,0.0,0.0,4200.0,6912.5
65,2022-08-11 19,417561.3923339844,4100.0,11787.5,6800.0,857083.3333333334,6800.0,33716.666666666664,6800.0,17566.666666666668,20400.0,907516.6666666667,6800.0,20400.0,62100.0,891295.8333333335,0.0,0.0,0.0,0.0,4200.0,7087.5
66,2022-08-11 20,418771.0187988281,4100.0,11958.333333333332,6800.0,857366.6666666666,6800.0,34000.0,6800.0,17850.0,20400.0,908366.6666666666,6800.0,20683.333333333332,62100.0,893883.3333333334,0.0,0.0,0.0,0.0,4200.0,7262.5
67,2022-08-11 21,415803.9616699219,4100.0,12129.166666666668,6800.0,857650.0,6800.0,34283.333333333336,6800.0,18133.333333333332,13600.0,879466.6666666666,6800.0,20966.666666666668,62100.0,896470.8333333335,0.0,0.0,0.0,0.0,4200.0,7437.5
68,2022-08-11 22,400593.6516113281,4100.0,12300.0,6800.0,857933.3333333334,6800.0,34566.666666666664,6800.0,18416.666666666668,13600.0,880033.3333333334,6800.0,21250.0,68900.0,899341.6666666667,0.0,0.0,0.0,0.0,4200.0,7612.5
69,2022-08-11 23,394357.62451171875,4100.0,12470.833333333332,6800.0,858216.6666666666,6800.0,34850.0,6800.0,18700.0,13600.0,880600.0,6800.0,21533.333333333332,68900.0,902212.5,0.0,0.0,0.0,0.0,4200.0,7787.5
70,2022-08-12 00,409789.9899902344,4100.0,12641.666666666668,6800.0,858500.0,0.0,0.0,6800.0,18983.333333333332,13600.0,881166.6666666666,6800.0,21816.666666666668,68900.0,905083.3333333335,0.0,0.0,0.0,0.0,4200.0,7962.5
71,2022-08-12 01,378620.5634765625,4100.0,12812.5,6800.0,858783.3333333334,0.0,0.0,6800.0,19266.666666666668,13600.0,881733.3333333334,6800.0,22100.0,68900.0,907954.1666666667,0.0,0.0,0.0,0.0,4200.0,8137.5
72,2022-08-12 02,360941.35009765625,4100.0,12983.333333333332,6800.0,859066.6666666666,0.0,0.0,6800.0,19550.0,6800.0,855666.6666666666,6800.0,22383.333333333332,68900.0,910825.0,0.0,0.0,0.0,0.0,4200.0,8312.5
73,2022-08-12 03,385763.9130859375,4100.0,13154.166666666668,6800.0,859350.0,0.0,0.0,6800.0,19833.333333333332,6800.0,855950.0,6800.0,22666.666666666668,68900.0,913695.8333333335,0.0,0.0,0.0,0.0,4200.0,8487.5
74,2022-08-12 04,367379.5798339844,4100.0,13325.0,6800.0,859633.3333333334,0.0,0.0,6800.0,20116.666666666668,6800.0,856233.3333333334,6800.0,22950.0,68900.0,916566.6666666667,0.0,0.0,0.0,0.0,4200.0,8662.5
75,2022-08-12 05,371518.52587890625,4100.0,13495.833333333332,6800.0,859916.6666666666,0.0,0.0,6800.0,20400.0,6800.0,856516.6666666666,6800.0,23233.333333333332,68900.0,919437.5,0.0,0.0,0.0,0.0,4200.0,8837.5
76,2022-08-12 06,369892.18701171875,4100.0,13666.666666666668,6800.0,860200.0,0.0,0.0,6800.0,20683.333333333332,6800.0,856800.0,6800.0,23516.666666666668,68900.0,922308.3333333335,0.0,0.0,0.0,0.0,4200.0,9012.5
